"bg","N","w1","prob","w2"
"a compelling",7,"a",2.99586228620243e-06,"compelling"
"a competitive",11,"a",4.70778359260381e-06,"competitive"
"a complaint",13,"a",5.56374424580451e-06,"complaint"
"a complete",50,"a",2.13990163300173e-05,"complete"
"a completely",19,"a",8.13162620540659e-06,"completely"
"a complex",16,"a",6.84768522560555e-06,"complex"
"a compliment",7,"a",2.99586228620243e-06,"compliment"
"a comprehensive",7,"a",2.99586228620243e-06,"comprehensive"
"a compromise",8,"a",3.42384261280277e-06,"compromise"
"a computer",31,"a",1.32673901246108e-05,"computer"
"a concept",9,"a",3.85182293940312e-06,"concept"
"a concern",5,"a",2.13990163300173e-06,"concern"
"a concert",13,"a",5.56374424580451e-06,"concert"
"a concrete",5,"a",2.13990163300173e-06,"concrete"
"a concussion",10,"a",4.27980326600347e-06,"concussion"
"a condition",10,"a",4.27980326600347e-06,"condition"
"a condom",8,"a",3.42384261280277e-06,"condom"
"a conference",16,"a",6.84768522560555e-06,"conference"
"a conflict",5,"a",2.13990163300173e-06,"conflict"
"a congressional",5,"a",2.13990163300173e-06,"congressional"
"a connection",12,"a",5.13576391920416e-06,"connection"
"a conscious",10,"a",4.27980326600347e-06,"conscious"
"a consciousness",5,"a",2.13990163300173e-06,"consciousness"
"a consensus",5,"a",2.13990163300173e-06,"consensus"
"a consequence",7,"a",2.99586228620243e-06,"consequence"
"a conservative",13,"a",5.56374424580451e-06,"conservative"
"a considerable",10,"a",4.27980326600347e-06,"considerable"
"a consistent",10,"a",4.27980326600347e-06,"consistent"
"a conspiracy",7,"a",2.99586228620243e-06,"conspiracy"
"a constant",22,"a",9.41556718520763e-06,"constant"
"a constitutional",11,"a",4.70778359260381e-06,"constitutional"
"a construction",6,"a",2.56788195960208e-06,"construction"
"a consultant",6,"a",2.56788195960208e-06,"consultant"
"a consumer",10,"a",4.27980326600347e-06,"consumer"
"a contemporary",5,"a",2.13990163300173e-06,"contemporary"
"a contest",15,"a",6.4197048990052e-06,"contest"
"a context",5,"a",2.13990163300173e-06,"context"
"a continuation",5,"a",2.13990163300173e-06,"continuation"
"a contract",19,"a",8.13162620540659e-06,"contract"
"a contractor",6,"a",2.56788195960208e-06,"contractor"
"a controlled",6,"a",2.56788195960208e-06,"controlled"
"a controversial",7,"a",2.99586228620243e-06,"controversial"
"a convention",5,"a",2.13990163300173e-06,"convention"
"a conversation",37,"a",1.58352720842128e-05,"conversation"
"a convicted",5,"a",2.13990163300173e-06,"convicted"
"a cook",7,"a",2.99586228620243e-06,"cook"
"a cookie",7,"a",2.99586228620243e-06,"cookie"
"a cool",43,"a",1.84031540438149e-05,"cool"
"a copy",48,"a",2.05430556768166e-05,"copy"
"a corner",16,"a",6.84768522560555e-06,"corner"
"a corporate",6,"a",2.56788195960208e-06,"corporate"
"a cost",7,"a",2.99586228620243e-06,"cost"
"a country",28,"a",1.19834491448097e-05,"country"
"a coup",7,"a",2.99586228620243e-06,"coup"
"a couple",370,"a",0.000158352720842128,"couple"
"a coupon",8,"a",3.42384261280277e-06,"coupon"
"a course",15,"a",6.4197048990052e-06,"course"
"a court",27,"a",1.15554688182094e-05,"court"
"a cousin",5,"a",2.13990163300173e-06,"cousin"
"a cover",12,"a",5.13576391920416e-06,"cover"
"a cow",6,"a",2.56788195960208e-06,"cow"
"a cowboy",5,"a",2.13990163300173e-06,"cowboy"
"a craft",5,"a",2.13990163300173e-06,"craft"
"a crappy",7,"a",2.99586228620243e-06,"crappy"
"a crash",9,"a",3.85182293940312e-06,"crash"
"a craving",5,"a",2.13990163300173e-06,"craving"
"a crazy",31,"a",1.32673901246108e-05,"crazy"
